Date,Open,High,Low,Close,Adj Close,Volume
23/6/16,133.910004,134.550003,132.729996,133.550003,121.651848,4113900
24/6/16,128.139999,129.389999,126.209999,126.519997,115.248146,9707300
27/6/16,125.68,125.75,122.349998,122.699997,111.768463,6169000
28/6/16,124.5,124.760002,122.699997,123.889999,112.852455,4438100
29/6/16,125.489998,127.32,124.160004,126.989998,115.676285,4916700
30/6/16,127.080002,129.869995,127.080002,129.869995,118.29969,4110800
1/7/16,129.539993,130.339996,129.160004,129.690002,118.135727,3247900
5/7/16,128.429993,129,126.629997,126.970001,115.658051,4829400
6/7/16,127.25,127.309998,123.959999,126.959999,115.648949,3981700
7/7/16,126.919998,128.169998,126.260002,127.169998,115.840233,3049400
8/7/16,128.600006,130.460007,127.660004,130.089996,118.500099,3597800
11/7/16,130.839996,133.25,130.800003,132.039993,120.27636,3929900
12/7/16,132.800003,133,130.330002,130.809998,119.155945,4318400
13/7/16,131.279999,131.389999,129.369995,130.110001,118.518295,3061400
14/7/16,131.630005,131.919998,130.199997,131.550003,119.830002,3984100
15/7/16,131.800003,132.75,131.449997,132.389999,120.595177,2944900
18/7/16,132.380005,133.889999,131.949997,133.429993,121.542534,3338400
19/7/16,132.910004,135.669998,132.830002,134.660004,122.662933,3390000
20/7/16,134.550003,135.179993,134.039993,134.720001,122.717583,2669400
21/7/16,134.759995,134.979996,133.029999,133.529999,121.633614,2814100
22/7/16,131.75,133.490005,130.570007,133.470001,121.578964,4844900
25/7/16,133.179993,133.300003,132.380005,132.940002,121.096161,3078600
26/7/16,132.899994,134.970001,132.509995,134.850006,122.836029,4667300
27/7/16,136.139999,139.449997,135.710007,135.960007,123.847122,5661700
28/7/16,135.399994,135.860001,132.550003,133.009995,121.15995,5142400
29/7/16,133.050003,133.800003,132.300003,133.660004,121.752045,3559100
1/8/16,133.210007,134.229996,132.699997,133.210007,121.342133,3067300
2/8/16,132.949997,133.399994,131.350006,131.600006,119.875565,3156800
3/8/16,131.770004,132.449997,131.619995,131.869995,120.12149,2359300
4/8/16,132,132.550003,130.960007,131.210007,119.520302,3008500
5/8/16,132.210007,132.440002,131.009995,131.729996,119.99398,3119500
8/8/16,132.139999,132.949997,131.75,132.190002,120.413002,2443800
9/8/16,132.729996,132.990005,132.229996,132.619995,120.804672,3013900
10/8/16,132.100006,133.529999,131.710007,132.279999,121.49353,2642200
11/8/16,132.850006,133.559998,132.300003,133,122.154816,2275700
12/8/16,132.899994,133.779999,132.630005,133.100006,122.246674,2522600
15/8/16,133.699997,135,133.550003,134.660004,123.679466,2812600
16/8/16,134.149994,135.210007,133.399994,135,123.991722,2759200
17/8/16,134.850006,134.990005,134.110001,134.720001,123.734558,2854600
18/8/16,134.720001,135.960007,134.529999,135,123.991722,2030800
19/8/16,134.5,135,133.839996,134.440002,123.477402,1922600
22/8/16,134.300003,135.669998,133.839996,134.990005,123.982536,2520500
23/8/16,135.320007,136.369995,133.639999,134.139999,123.201866,3481900
24/8/16,134.009995,134.649994,133.070007,133.289993,122.42115,2135900
25/8/16,133.300003,133.300003,132.419998,132.979996,122.136452,1921400
26/8/16,133.5,134.080002,131.820007,132.229996,121.447601,1973700
29/8/16,132.720001,133.580002,132.320007,132.899994,122.062965,2380000
30/8/16,133.190002,133.440002,130.679993,130.809998,120.143402,3437300
31/8/16,130.830002,130.830002,129.139999,129.449997,118.894295,3639200
1/9/16,130.029999,130.029999,128.360001,129.899994,119.30761,2807200
2/9/16,130.889999,131.960007,130.580002,131.160004,120.464867,2631000
6/9/16,131.630005,132.990005,131.270004,132.990005,122.145653,4151800
7/9/16,132.479996,133.080002,132,132.639999,121.824158,2198700
8/9/16,132.320007,132.910004,131.509995,132.899994,122.062965,2618300
9/9/16,131.940002,131.940002,128.520004,128.529999,118.049309,4892900
12/9/16,126.879997,130.679993,126.309998,130.119995,119.509659,6381100
13/9/16,129.220001,130.020004,128.259995,128.759995,118.260551,4552400
14/9/16,128.910004,129.309998,127.339996,127.669998,117.25943,3955400
15/9/16,127.57,128.460007,126.940002,127.769997,117.351288,3462400
16/9/16,127.709999,127.709999,126.339996,126.699997,116.368538,8035600
19/9/16,127.5,128.300003,127.269997,127.480003,117.084938,3168100
20/9/16,127.949997,128.5,127.57,127.790001,117.369652,2639300
21/9/16,128.179993,130.630005,128.179993,130.559998,119.913803,3227800
22/9/16,131.449997,132.479996,131.169998,131.869995,121.116943,3253100
23/9/16,131.25,132.289993,131.009995,131.779999,121.034286,2330700
26/9/16,131.070007,131.580002,130.429993,130.570007,119.922974,2219900
27/9/16,130.289993,131.740005,129.860001,131.320007,120.611801,1939000
28/9/16,131.589996,132.360001,130.589996,132.229996,121.447601,1773000
29/9/16,131.800003,132.779999,130.679993,131.029999,120.345444,2199400
30/9/16,132.089996,132.630005,131.270004,131.740005,120.997566,3118900
3/10/16,131.279999,132.720001,130.740005,132.380005,121.585396,2439400
4/10/16,132.770004,133.229996,131.690002,132.25,121.465988,2829200
5/10/16,132.929993,134.899994,132.550003,134.660004,123.679466,3137500
6/10/16,134.830002,135,133.679993,134.419998,123.459007,3614900
7/10/16,133.929993,134.660004,132.539993,133.850006,122.935509,4302000
10/10/16,134.589996,136.869995,134.589996,135.839996,124.763245,3343300
11/10/16,134.940002,135.690002,133.270004,133.740005,122.834503,3607300
12/10/16,133.759995,134.279999,133,133.160004,122.301758,2264200
13/10/16,132.419998,133.929993,131.389999,133.380005,122.503853,3544200
14/10/16,134.559998,135.25,133.479996,133.5,122.614044,2317400
17/10/16,133.5,135.380005,133.330002,134,123.07328,2435100
18/10/16,135.029999,135.740005,134.919998,135.100006,124.083611,2271000
19/10/16,135.419998,136.949997,135.330002,136.179993,125.075516,2265900
20/10/16,135.919998,136.75,135.369995,135.839996,124.763245,2539700
21/10/16,134.720001,136.190002,134.25,135.630005,124.570351,2205000
24/10/16,136.410004,138.880005,136.410004,137.449997,126.241959,3814200
25/10/16,137.529999,139.419998,137.350006,139.020004,127.683968,5209100
26/10/16,138.429993,146.190002,136.720001,145.539993,133.672241,13272000
27/10/16,145.830002,146.229996,141.779999,143.309998,131.624115,7857100
28/10/16,143.720001,144,142.169998,143.009995,131.348572,4636100
31/10/16,143.050003,143.350006,142.149994,142.429993,130.815887,3075900
1/11/16,142.949997,143.899994,141.809998,142.410004,130.797516,3245000
2/11/16,142,142.869995,140.589996,140.75,129.272888,2782100
3/11/16,140.759995,140.899994,139.350006,140.020004,128.602371,2280800
4/11/16,139.110001,140.850006,138.800003,139.539993,128.16153,2951500
7/11/16,141.5,143.100006,141.490005,143.029999,131.366943,3228200
8/11/16,141.919998,143.309998,141.289993,142.199997,131.607574,2823800
9/11/16,141.600006,145.850006,141.539993,145.089996,135.31955,5494400
10/11/16,146.509995,149.339996,146.389999,147.690002,137.744507,6508300
11/11/16,147.119995,148.600006,146.559998,148.520004,138.51857,3585200
14/11/16,148.210007,150.089996,148.210007,149.990005,139.889587,4490900
15/11/16,148.440002,149.449997,147.190002,148.110001,138.136185,3856600
16/11/16,147.300003,148.410004,146.139999,146.440002,136.578644,3559700
17/11/16,146.830002,147.119995,145,145.330002,135.543411,3656100
18/11/16,145.179993,146.600006,144.460007,146.350006,136.494705,2214400
21/11/16,147.210007,148.490005,146.520004,147.020004,137.119598,2825900
22/11/16,147.899994,149.759995,147.880005,149.520004,139.451248,3770000
23/11/16,149.610001,150.809998,149.029999,149.740005,139.656433,2857500
25/11/16,150,150.149994,149.029999,150.039993,139.936203,962300
28/11/16,149,150.089996,148.320007,149.770004,139.684418,4728800
29/11/16,149.830002,152.110001,149.110001,151.639999,141.428497,3945600
30/11/16,151.589996,153.080002,150.559998,150.559998,140.421219,3991000
1/12/16,150.740005,152.690002,150.389999,152.389999,142.127975,2843900
2/12/16,152.449997,152.490005,151.119995,152.25,141.997345,2105600
5/12/16,153.240005,153.75,151.850006,152.160004,141.913467,2855900
6/12/16,150.839996,152.639999,150.020004,152.240005,141.988068,3476300
7/12/16,151.669998,154.309998,151.070007,154.139999,143.760101,2955800
8/12/16,154.600006,155.970001,154.139999,155.389999,144.925949,2928400
9/12/16,155.649994,156.880005,155.419998,156.490005,145.951889,2707900
12/12/16,156,158,154.300003,157.160004,146.576797,4250600
13/12/16,159.100006,160.070007,154.880005,156.660004,146.110458,5650400
14/12/16,156.229996,156.369995,154.179993,154.470001,144.067917,3640200
15/12/16,153.929993,155.240005,153.059998,153.770004,143.415039,2889300
16/12/16,153.880005,156,153.139999,154.5,144.095886,5888300
19/12/16,155.160004,157.100006,155.070007,156.179993,145.662781,3002800
20/12/16,156.960007,157.889999,155.949997,156.389999,145.858612,2270100
21/12/16,156.690002,158.5,156.649994,157.479996,146.875229,2326000
22/12/16,158.5,158.990005,156.25,157.460007,146.856583,3958500
23/12/16,158.270004,158.270004,156.509995,157.809998,147.182983,2135800
27/12/16,158.410004,158.479996,156.910004,157.479996,146.875229,1858700
28/12/16,157.119995,157.350006,156.009995,156.100006,145.58815,1810400
29/12/16,156,156.75,155.160004,155.690002,145.20575,1804000
30/12/16,156.490005,156.789993,154.960007,155.679993,145.196411,2027700
3/1/17,156.300003,157.139999,155.210007,156.970001,146.399567,3426100
4/1/17,157.809998,159.229996,157.809998,158.619995,147.938461,3189800
5/1/17,158.410004,159.699997,157.399994,158.710007,148.022385,2796000
6/1/17,158.979996,159.660004,157.889999,159.100006,148.386139,2426000
9/1/17,159,159.240005,158.169998,158.320007,147.658661,2839400
10/1/17,158.960007,159.940002,158.570007,159.070007,148.358139,2988300
11/1/17,159.539993,159.699997,158.279999,159.399994,148.665894,2416500
12/1/17,159.149994,159.160004,156.669998,158.289993,147.630692,3020500
13/1/17,158.740005,159.580002,158.339996,158.830002,148.134277,2435400
17/1/17,158.199997,159.039993,157.229996,157.669998,147.052444,2758800
18/1/17,157.550003,159.050003,156.75,158.320007,147.658661,2087000
19/1/17,158.869995,159.869995,157.910004,159,148.292831,3144000
20/1/17,159.809998,160.300003,158.229996,159.529999,148.78717,3384500
23/1/17,158.940002,159.5,157.289993,157.839996,147.210953,3931200
24/1/17,158.580002,160.929993,157.839996,160.550003,149.738464,3927500
25/1/17,163.589996,168.649994,163.240005,167.360001,156.089874,7480000
26/1/17,167.25,170,167.25,169.119995,157.731369,5436800
